Date,Mean-Variance,Shrinkage,Bayesian,Robust,Equal Weight
2014-07-15 00:00:00-04:00,1715430.8791690848,1714920.9996262798,1715564.6491568214,1715313.7977648086,1672752.313420746
2014-07-16 00:00:00-04:00,1716271.4274080477,1715697.7949418663,1716409.7752263348,1716159.8209834618,1678143.9543645845
2014-07-17 00:00:00-04:00,1689692.7617417928,1689032.5434494487,1689835.60265484,1689590.7290522875,1658099.361138926
2014-07-18 00:00:00-04:00,1718933.3200659512,1718298.6601991812,1719076.059612003,1718826.4647984551,1672334.6635335176
2014-07-21 00:00:00-04:00,1721079.746133284,1720280.0339375096,1721234.2822041023,1720986.8914894206,1669005.841635036
2014-07-22 00:00:00-04:00,1725546.5226777734,1724842.4876331757,1725694.534378449,1725445.0015120283,1675462.4143355635
2014-07-23 00:00:00-04:00,1728018.6522616292,1727609.7876755642,1728145.8815231628,1727891.3889832564,1674743.224657882
2014-07-24 00:00:00-04:00,1727676.488815039,1727513.6736900008,1727786.36866029,1727528.3095697684,1674859.147363325
2014-07-25 00:00:00-04:00,1714681.3590983928,1715105.2960457471,1714749.1547213052,1714484.406572418,1664160.995428379
2014-07-28 00:00:00-04:00,1719291.4239734954,1719285.0926098758,1719389.7728236818,1719130.6314277616,1664631.681006142
2014-07-29 00:00:00-04:00,1712188.762927635,1712515.5943696958,1712263.3306793328,1712000.5512306227,1658219.5505190631
2014-07-30 00:00:00-04:00,1723766.339147491,1724342.7840545273,1723824.1411853551,1723556.293004766,1661594.5452076641
2014-07-31 00:00:00-04:00,1682548.0621374485,1682870.7647985849,1682621.298620603,1682363.1880814945,1629820.6456541568
2014-08-01 00:00:00-04:00,1682604.7765725518,1682711.300645991,1682693.1982819291,1682438.148061643,1624362.2279809674
2014-08-04 00:00:00-04:00,1691331.265880651,1691790.903536604,1691395.3730326707,1691133.9500419635,1635765.01714211
2014-08-05 00:00:00-04:00,1677094.3291002202,1677514.1274747557,1677160.420492068,1676901.7053122034,1621228.5069019198
2014-08-06 00:00:00-04:00,1673288.8298336135,1673532.200352894,1673367.1376694334,1673111.6219906427,1622003.3823887843
2014-08-07 00:00:00-04:00,1679685.10822025,1679929.3728790223,1679763.8194798976,1679507.1715593871,1614063.6858998963
